     108
nfi=       0 etot=         44.78225733
Ar           11.38600000          11.38600000          11.38600000
Ar           17.07900000          17.07900000          11.38600000
Ar           17.07900000          11.38600000          17.07900000
Ar           11.38600000          17.07900000          17.07900000
Ar           11.38600000          11.38600000          22.77200000
Ar           17.07900000          17.07900000          22.77200000
Ar           17.07900000          11.38600000          28.46500000
Ar           11.38600000          17.07900000          28.46500000
Ar           11.38600000          11.38600000          34.15800000
Ar           17.07900000          17.07900000          34.15800000
Ar           17.07900000          11.38600000          39.85100000
Ar           11.38600000          17.07900000          39.85100000
Ar           11.38600000          22.77200000          11.38600000
Ar           17.07900000          28.46500000          11.38600000
Ar           17.07900000          22.77200000          17.07900000
Ar           11.38600000          28.46500000          17.07900000
Ar           11.38600000          22.77200000          22.77200000
Ar           17.07900000          28.46500000          22.77200000
Ar           17.07900000          22.77200000          28.46500000
Ar           11.38600000          28.46500000          28.46500000
Ar           11.38600000          22.77200000          34.15800000
Ar           17.07900000          28.46500000          34.15800000
Ar           17.07900000          22.77200000          39.85100000
Ar           11.38600000          28.46500000          39.85100000
Ar           11.38600000          34.15800000          11.38600000
Ar           17.07900000          39.85100000          11.38600000
Ar           17.07900000          34.15800000          17.07900000
Ar           11.38600000          39.85100000          17.07900000
Ar           11.38600000          34.15800000          22.77200000
Ar           17.07900000          39.85100000          22.77200000
Ar           17.07900000          34.15800000          28.46500000
Ar           11.38600000          39.85100000          28.46500000
Ar           11.38600000          34.15800000          34.15800000
Ar           17.07900000          39.85100000          34.15800000
Ar           17.07900000          34.15800000          39.85100000
Ar           11.38600000          39.85100000          39.85100000
Ar           22.77200000          11.38600000          11.38600000
Ar           28.46500000          17.07900000          11.38600000
Ar           28.46500000          11.38600000          17.07900000
Ar           22.77200000          17.07900000          17.07900000
Ar           22.77200000          11.38600000          22.77200000
Ar           28.46500000          17.07900000          22.77200000
Ar           28.46500000          11.38600000          28.46500000
Ar           22.77200000          17.07900000          28.46500000
Ar           22.77200000          11.38600000          34.15800000
Ar           28.46500000          17.07900000          34.15800000
Ar           28.46500000          11.38600000          39.85100000
Ar           22.77200000          17.07900000          39.85100000
Ar           22.77200000          22.77200000          11.38600000
Ar           28.46500000          28.46500000          11.38600000
Ar           28.46500000          22.77200000          17.07900000
Ar           22.77200000          28.46500000          17.07900000
Ar           22.77200000          22.77200000          22.77200000
Ar           28.46500000          28.46500000          22.77200000
